@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
331,'2018/06/18 16:37:05:566',7,0,1,0,0,0,0,2,0,0,0
332,'2018/06/18 16:37:05:616',7,0,1,0,0,0,0,2,0,0,0
333,'2018/06/18 16:37:05:666',7,0,1,0,0,0,0,2,0,0,0
334,'2018/06/18 16:37:05:716',7,0,1,0,0,0,0,2,0,0,0
335,'2018/06/18 16:37:05:766',7,0,1,0,0,0,0,2,0,0,0
336,'2018/06/18 16:37:05:816',7,0,1,0,0,0,0,2,0,0,0
337,'2018/06/18 16:37:05:866',7,0,1,0,0,0,0,2,0,0,0
338,'2018/06/18 16:37:05:916',7,0,1,0,0,0,0,2,0,0,0
339,'2018/06/18 16:37:05:966',7,0,1,0,0,0,0,2,0,0,0
340,'2018/06/18 16:37:06:016',7,0,1,0,0,0,0,2,0,0,0
341,'2018/06/18 16:37:06:066',7,0,1,0,0,0,0,2,0,0,0
342,'2018/06/18 16:37:06:116',7,0,1,0,0,0,0,2,0,0,0
343,'2018/06/18 16:37:06:166',7,0,1,0,0,0,0,2,0,0,0
344,'2018/06/18 16:37:06:216',7,0,1,0,0,0,0,2,0,0,0
345,'2018/06/18 16:37:06:266',7,0,1,0,0,0,0,2,0,0,0
346,'2018/06/18 16:37:06:316',7,0,1,0,0,0,0,2,0,0,0
347,'2018/06/18 16:37:06:366',7,0,1,0,0,0,0,2,0,0,0
348,'2018/06/18 16:37:06:416',7,0,1,0,0,0,0,2,0,0,0
349,'2018/06/18 16:37:06:466',7,0,1,0,0,0,0,2,0,0,0
350,'2018/06/18 16:37:06:516',7,0,1,0,0,0,0,2,0,0,0
351,'2018/06/18 16:37:06:566',7,0,1,0,0,0,0,2,0,0,0
352,'2018/06/18 16:37:06:616',7,0,1,0,0,0,0,2,0,0,0
353,'2018/06/18 16:37:06:667',7,0,1,0,0,0,0,2,0,0,0
354,'2018/06/18 16:37:06:717',7,0,1,0,0,0,0,2,0,0,0
355,'2018/06/18 16:37:06:767',7,0,1,0,0,0,0,2,0,0,0
356,'2018/06/18 16:37:06:817',7,0,1,0,0,0,0,2,0,0,0
357,'2018/06/18 16:37:06:868',7,0,1,0,0,0,0,2,0,0,0
358,'2018/06/18 16:37:06:918',7,0,1,0,0,0,0,2,0,0,0
359,'2018/06/18 16:37:06:968',7,0,1,0,0,0,0,2,0,0,0
360,'2018/06/18 16:37:07:018',7,0,1,0,0,0,0,2,0,0,0
361,'2018/06/18 16:37:07:068',7,0,1,0,0,0,0,2,0,0,0
362,'2018/06/18 16:37:07:119',7,0,1,0,0,0,0,2,0,0,0
363,'2018/06/18 16:37:16:042',8,0,0,1,0,0,0,0,2,0,0
364,'2018/06/18 16:37:16:092',8,0,0,1,0,0,0,0,2,0,0
365,'2018/06/18 16:37:16:142',8,0,0,1,0,0,0,0,2,0,0
366,'2018/06/18 16:37:16:192',8,0,0,1,0,0,0,0,2,0,0
367,'2018/06/18 16:37:16:242',8,0,0,1,0,0,0,0,2,0,0
368,'2018/06/18 16:37:16:292',8,0,0,1,0,0,0,0,2,0,0
369,'2018/06/18 16:37:16:342',8,0,0,1,0,0,0,0,2,0,0
370,'2018/06/18 16:37:16:392',8,0,0,1,0,0,0,0,2,0,0
371,'2018/06/18 16:37:16:442',8,0,0,1,0,0,0,0,2,0,0
372,'2018/06/18 16:37:16:493',8,0,0,1,0,0,0,0,2,0,0
373,'2018/06/18 16:37:16:543',8,0,0,1,0,0,0,0,2,0,0
374,'2018/06/18 16:37:16:593',8,0,0,1,0,0,0,0,2,0,0
375,'2018/06/18 16:37:16:643',8,0,0,1,0,0,0,0,2,0,0
376,'2018/06/18 16:37:16:693',8,0,0,1,0,0,0,0,2,0,0
377,'2018/06/18 16:37:16:743',8,0,0,1,0,0,0,0,2,0,0
378,'2018/06/18 16:37:16:793',8,0,0,1,0,0,0,0,2,0,0
379,'2018/06/18 16:37:16:843',8,0,0,1,0,0,0,0,2,0,0
380,'2018/06/18 16:37:16:893',8,0,0,1,0,0,0,0,2,0,0
381,'2018/06/18 16:37:16:943',8,0,0,1,0,0,0,0,2,0,0
382,'2018/06/18 16:37:16:993',8,0,0,1,0,0,0,0,2,0,0
383,'2018/06/18 16:37:17:043',8,0,0,1,0,0,0,0,2,0,0
384,'2018/06/18 16:37:17:093',8,0,0,1,0,0,0,0,2,0,0
385,'2018/06/18 16:37:17:143',8,0,0,1,0,0,0,0,2,0,0
386,'2018/06/18 16:37:17:193',8,0,0,1,0,0,0,0,2,0,0
387,'2018/06/18 16:37:17:243',8,0,0,1,0,0,0,0,2,0,0
388,'2018/06/18 16:37:17:293',8,0,0,1,0,0,0,0,2,0,0
389,'2018/06/18 16:37:17:343',8,0,0,1,0,0,0,0,2,0,0
390,'2018/06/18 16:37:17:393',8,0,0,1,0,0,0,0,2,0,0
391,'2018/06/18 16:37:17:443',8,0,0,1,0,0,0,0,2,0,0
392,'2018/06/18 16:37:17:493',8,0,0,1,0,0,0,0,2,0,0
393,'2018/06/18 16:37:17:543',8,0,0,1,0,0,0,0,2,0,0
394,'2018/06/18 16:37:17:593',8,0,0,1,0,0,0,0,2,0,0
395,'2018/06/18 16:37:17:643',8,0,0,1,0,0,0,0,2,0,0
396,'2018/06/18 16:37:17:693',8,0,0,1,0,0,0,0,2,0,0
397,'2018/06/18 16:37:17:744',8,0,0,1,0,0,0,0,2,0,0
398,'2018/06/18 16:37:17:794',8,0,0,1,0,0,0,0,2,0,0
399,'2018/06/18 16:37:17:844',8,0,0,1,0,0,0,0,2,0,0
400,'2018/06/18 16:37:17:895',8,0,0,1,0,0,0,0,2,0,0
401,'2018/06/18 16:37:17:945',8,0,0,1,0,0,0,0,2,0,0
402,'2018/06/18 16:37:17:995',8,0,0,1,0,0,0,0,2,0,0
403,'2018/06/18 16:37:18:045',8,0,0,1,0,0,0,0,2,0,0
404,'2018/06/18 16:37:18:095',8,0,0,1,0,0,0,0,2,0,0
405,'2018/06/18 16:37:18:145',8,0,0,1,0,0,0,0,2,0,0
406,'2018/06/18 16:37:18:195',8,0,0,1,0,0,0,0,2,0,0
407,'2018/06/18 16:37:18:245',8,0,0,1,0,0,0,0,2,0,0
408,'2018/06/18 16:37:18:295',8,0,0,1,0,0,0,0,2,0,0
409,'2018/06/18 16:37:18:346',8,0,0,1,0,0,0,0,2,0,0
410,'2018/06/18 16:37:18:396',8,0,0,1,0,0,0,0,2,0,0
411,'2018/06/18 16:37:18:446',8,0,0,1,0,0,0,0,2,0,0
412,'2018/06/18 16:37:18:496',8,0,0,1,0,0,0,0,2,0,0
413,'2018/06/18 16:37:18:546',8,0,0,1,0,0,0,0,2,0,0
414,'2018/06/18 16:37:28:508',9,0,0,0,1,0,0,0,0,1,0
415,'2018/06/18 16:37:28:558',9,0,0,0,1,0,0,0,0,1,0
416,'2018/06/18 16:37:28:609',9,0,0,0,1,0,0,0,0,1,0
417,'2018/06/18 16:37:28:659',9,0,0,0,1,0,0,0,0,1,0
418,'2018/06/18 16:37:28:709',9,0,0,0,1,0,0,0,0,1,0
419,'2018/06/18 16:37:28:760',9,0,0,0,1,0,0,0,0,1,0
420,'2018/06/18 16:37:28:810',9,0,0,0,1,0,0,0,0,1,0
421,'2018/06/18 16:37:28:860',9,0,0,0,1,0,0,0,0,1,0
422,'2018/06/18 16:37:28:911',9,0,0,0,1,0,0,0,0,1,0
423,'2018/06/18 16:37:28:961',9,0,0,0,1,0,0,0,0,1,0
424,'2018/06/18 16:37:29:011',9,0,0,0,1,0,0,0,0,1,0
425,'2018/06/18 16:37:29:061',9,0,0,0,1,0,0,0,0,1,0
426,'2018/06/18 16:37:29:112',9,0,0,0,1,0,0,0,0,1,0
427,'2018/06/18 16:37:29:162',9,0,0,0,1,0,0,0,0,1,0
428,'2018/06/18 16:37:29:212',9,0,0,0,1,0,0,0,0,1,0
429,'2018/06/18 16:37:29:263',9,0,0,0,1,0,0,0,0,1,0
430,'2018/06/18 16:37:29:313',9,0,0,0,1,0,0,0,0,1,0
431,'2018/06/18 16:37:29:363',9,0,0,0,1,0,0,0,0,1,0
432,'2018/06/18 16:37:29:414',9,0,0,0,1,0,0,0,0,1,0
433,'2018/06/18 16:37:29:464',9,0,0,0,1,0,0,0,0,1,0
434,'2018/06/18 16:37:29:514',9,0,0,0,1,0,0,0,0,1,0
435,'2018/06/18 16:37:29:564',9,0,0,0,1,0,0,0,0,1,0
436,'2018/06/18 16:37:29:614',9,0,0,0,1,0,0,0,0,1,0
437,'2018/06/18 16:37:29:665',9,0,0,0,1,0,0,0,0,1,0
438,'2018/06/18 16:37:29:715',9,0,0,0,1,0,0,0,0,1,0
439,'2018/06/18 16:37:29:765',9,0,0,0,1,0,0,0,0,1,0
440,'2018/06/18 16:37:29:815',9,0,0,0,1,0,0,0,0,1,0
441,'2018/06/18 16:37:29:865',9,0,0,0,1,0,0,0,0,1,0
442,'2018/06/18 16:37:29:915',9,0,0,0,1,0,0,0,0,1,0
443,'2018/06/18 16:37:29:966',9,0,0,0,1,0,0,0,0,1,0
444,'2018/06/18 16:37:30:016',9,0,0,0,1,0,0,0,0,1,0
